filename	Owner	Submitter	Sample Collector	MassIVE ID	ATTRIBUTE_batch	ATTRIBUTE_region	ATTRIBUTE_descriptor	ATTRIBUTE_type	ATTRIBUTE_type2	ATTRIBUTE_Year	ATTRIBUTE_Latitude	ATTRIBUTE_Longitude	ATTRIBUTE_Depth	ATTRIBUTE_ecosystem	ATTRIBUTE_Volume	ATTRIBUTE_SPEcartridge	ATTRIBUTE_Filtration	ATTRIBUTE_Depth_bucket	ATTRIBUTE_distance_to_coast_m	ATTRIBUTE_distancetocoast_bucket	ATTRIBUTE_distance_to_coast_km
RT_Jake_AH2_2.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	Northern San Diego Coast 2020	SAMPLE	Coastal	2020	33.1485688	-117.3329169	0	Coastal	BLANK	PPL	none	surface to 20m	0	0-200m	0
RT_Jake_AH2_3.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	Northern San Diego Coast 2020	SAMPLE	Coastal	2020	33.1485688	-117.3329169	0	Coastal	BLANK	PPL	none	surface to 20m	0	0-200m	0
RT_Jake_B1_1.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	Northern San Diego Coast 2020	SAMPLE	Coastal	2020	33.1485688	-117.3329169	0	Coastal	BLANK	PPL	none	surface to 20m	0	0-200m	0
RT_Jake_B1_2.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	Northern San Diego Coast 2020	SAMPLE	Coastal	2020	33.1485688	-117.3329169	0	Coastal	BLANK	PPL	none	surface to 20m	0	0-200m	0
RT_Jake_B1_3.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	Northern San Diego Coast 2020	SAMPLE	Coastal	2020	33.1485688	-117.3329169	0	Coastal	BLANK	PPL	none	surface to 20m	0	0-200m	0
RT_Jake_B2_1.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	Northern San Diego Coast 2020	SAMPLE	Coastal	2020	33.1485688	-117.3329169	0	Coastal	BLANK	PPL	none	surface to 20m	0	0-200m	0
RT_Jake_B2_2.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	Northern San Diego Coast 2020	SAMPLE	Coastal	2020	33.1485688	-117.3329169	0	Coastal	BLANK	PPL	none	surface to 20m	0	0-200m	0
RT_Jake_B2_3.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	Northern San Diego Coast 2020	SAMPLE	Coastal	2020	33.1485688	-117.3329169	0	Coastal	BLANK	PPL	none	surface to 20m	0	0-200m	0
RT_Jake_EE1_1.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	Northern San Diego Coast 2020	SAMPLE	Coastal	2020	33.1485688	-117.3329169	0	Coastal	BLANK	PPL	none	surface to 20m	0	0-200m	0
RT_Jake_EE1_2.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	Northern San Diego Coast 2020	SAMPLE	Coastal	2020	33.1485688	-117.3329169	0	Coastal	BLANK	PPL	none	surface to 20m	0	0-200m	0
RT_Jake_EE1_3.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	Northern San Diego Coast 2020	SAMPLE	Coastal	2020	33.1485688	-117.3329169	0	Coastal	BLANK	PPL	none	surface to 20m	0	0-200m	0
RT_Jake_EE2_1.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	Northern San Diego Coast 2020	SAMPLE	Coastal	2020	33.1485688	-117.3329169	0	Coastal	BLANK	PPL	none	surface to 20m	0	0-200m	0
RT_Jake_EE2_2.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	Northern San Diego Coast 2020	SAMPLE	Coastal	2020	33.1485688	-117.3329169	0	Coastal	BLANK	PPL	none	surface to 20m	0	0-200m	0
RT_Jake_EE2_3.mzXML	"bpalenik@ucsd.edu, dpetras@ucr.edu"	dpetras@ucr.edu	jjminich@ucsd.edu	MSV000085779	JnB	US Pacific coast	Northern San Diego Coast 2020	SAMPLE	Coastal	2020	33.1485688	-117.3329169	0	Coastal	BLANK	PPL	none	surface to 20m	0	0-200m	0
XA_DOM_30.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	South Africa 2018/19	SAMPLE	SAMPLE	2019	-33.86258	25.62793	0	Coastal	1	"PPL 200mg, acidified"	none	surface to 20m	0	Estuarine	0
XA_DOM_31.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	South Africa 2018/19	SAMPLE	SAMPLE	2019	-33.86258	25.62793	0	Coastal	1	"PPL 200mg, acidified"	none	surface to 20m	0	Estuarine	0
XA_DOM_32.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	South Africa 2018/19	SAMPLE	SAMPLE	2019	-33.8566	25.5975	0	Coastal	1	"PPL 200mg, acidified"	none	surface to 20m	0	Estuarine	0
XA_DOM_33.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	South Africa 2018/19	SAMPLE	SAMPLE	2019	-33.8566	25.5975	0	Coastal	1	"PPL 200mg, acidified"	none	surface to 20m	0	Estuarine	0
XA_DOM_22.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	South Africa 2018/19	SAMPLE	SAMPLE	2019	-33.85397	25.61175	0	Coastal	1	"PPL 200mg, acidified"	none	surface to 20m	0	Estuarine	0
XA_DOM_23.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	South Africa 2018/19	SAMPLE	SAMPLE	2019	-33.85397	25.61175	0	Coastal	1	"PPL 200mg, acidified"	none	surface to 20m	0	Estuarine	0
XA_DOM_34.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	South Africa 2018/19	SAMPLE	SAMPLE	2019	-33.8383	25.5974	0	Coastal	1	"PPL 200mg, acidified"	none	surface to 20m	0	Estuarine	0
XA_DOM_35.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	South Africa 2018/19	SAMPLE	SAMPLE	2019	-33.8383	25.5974	0	Coastal	1	"PPL 200mg, acidified"	none	surface to 20m	0	Estuarine	0
XA_DOM_36.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	South Africa 2018/19	SAMPLE	SAMPLE	2019	-33.835	25.5713	0	Coastal	1	"PPL 200mg, acidified"	none	surface to 20m	0	Estuarine	0
XA_DOM_37.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	South Africa 2018/19	SAMPLE	SAMPLE	2019	-33.835	25.5713	0	Coastal	1	"PPL 200mg, acidified"	none	surface to 20m	0	Estuarine	0
XA_DOM_38.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	South Africa 2018/19	SAMPLE	SAMPLE	2019	-33.8205	25.5509	0	Coastal	1	"PPL 200mg, acidified"	none	surface to 20m	0	Estuarine	0
XA_DOM_39.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	South Africa 2018/19	SAMPLE	SAMPLE	2019	-33.8205	25.5509	0	Coastal	1	"PPL 200mg, acidified"	none	surface to 20m	0	Estuarine	0
XA_DOM_24.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	South Africa 2018/19	SAMPLE	SAMPLE	2019	-33.7921	25.4899	0	Coastal	1	"PPL 200mg, acidified"	none	surface to 20m	0	Estuarine	0
XA_DOM_25.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	South Africa 2018/19	SAMPLE	SAMPLE	2019	-33.7921	25.4899	0	Coastal	1	"PPL 200mg, acidified"	none	surface to 20m	0	Estuarine	0
XA_DOM_26.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	South Africa 2018/19	SAMPLE	SAMPLE	2019	-33.7719	25.3864	0	Coastal	1	"PPL 200mg, acidified"	none	surface to 20m	0	Estuarine	0
XA_DOM_27.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	South Africa 2018/19	SAMPLE	SAMPLE	2019	-33.7719	25.3864	0	Coastal	1	"PPL 200mg, acidified"	none	surface to 20m	0	Estuarine	0
XA_DOM_28.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	South Africa 2018/19	SAMPLE	SAMPLE	2019	-33.7519	25.343	0	Coastal	1	"PPL 200mg, acidified"	none	surface to 20m	0	Estuarine	0
XA_DOM_29.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	South Africa 2018/19	SAMPLE	SAMPLE	2019	-33.7519	25.343	0	Coastal	1	"PPL 200mg, acidified"	none	surface to 20m	0	Estuarine	0
XA_DOM_66.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	South Africa 2018/19	SAMPLE	SAMPLE	2019	-33.7118	25.7971	0	Coastal	1	"PPL 200mg, acidified"	none	surface to 20m	0	Estuarine	0
XA_DOM_67.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	South Africa 2018/19	SAMPLE	SAMPLE	2019	-33.7118	25.7971	0	Coastal	1	"PPL 200mg, acidified"	none	surface to 20m	0	Estuarine	0
XA_DOM_60.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	South Africa 2018/19	SAMPLE	SAMPLE	2019	-33.7069	25.8399	0	Coastal	1	"PPL 200mg, acidified"	none	surface to 20m	0	Estuarine	0
XA_DOM_61.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	South Africa 2018/19	SAMPLE	SAMPLE	2019	-33.7069	25.8399	0	Coastal	1	"PPL 200mg, acidified"	none	surface to 20m	0	Estuarine	0
XA_DOM_62.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	South Africa 2018/19	SAMPLE	SAMPLE	2019	-33.7069	25.8399	0	Coastal	1	"PPL 200mg, acidified"	none	surface to 20m	0	Estuarine	0
XA_DOM_63.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	South Africa 2018/19	SAMPLE	SAMPLE	2019	-33.7069	25.8399	0	Coastal	1	"PPL 200mg, acidified"	none	surface to 20m	0	Estuarine	0
XA_DOM_68.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	South Africa 2018/19	SAMPLE	SAMPLE	2019	-33.6953	25.7946	0	Coastal	1	"PPL 200mg, acidified"	none	surface to 20m	0	Estuarine	0
XA_DOM_69.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	South Africa 2018/19	SAMPLE	SAMPLE	2019	-33.6953	25.7946	0	Coastal	1	"PPL 200mg, acidified"	none	surface to 20m	0	Estuarine	0
XA_DOM_64.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	South Africa 2018/19	SAMPLE	SAMPLE	2019	-33.6916	25.8318	0	Coastal	1	"PPL 200mg, acidified"	none	surface to 20m	0	Estuarine	0
XA_DOM_65.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	South Africa 2018/19	SAMPLE	SAMPLE	2019	-33.6916	25.8318	0	Coastal	1	"PPL 200mg, acidified"	none	surface to 20m	0	Estuarine	0
XA_DOM_70.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	South Africa 2018/19	SAMPLE	SAMPLE	2019	-33.6805	25.7695	0	Coastal	1	"PPL 200mg, acidified"	none	surface to 20m	0	Estuarine	0
XA_DOM_71.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	South Africa 2018/19	SAMPLE	SAMPLE	2019	-33.6805	25.7695	0	Coastal	1	"PPL 200mg, acidified"	none	surface to 20m	0	Estuarine	0
XA_DOM_72.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	South Africa 2018/19	SAMPLE	SAMPLE	2019	-33.658	25.7397	0	Coastal	1	"PPL 200mg, acidified"	none	surface to 20m	0	Estuarine	0
XA_DOM_73.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	South Africa 2018/19	SAMPLE	SAMPLE	2019	-33.658	25.7397	0	Coastal	1	"PPL 200mg, acidified"	none	surface to 20m	0	Estuarine	0
XA_DOM_74.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	South Africa 2018/19	SAMPLE	SAMPLE	2019	-33.6363	25.7382	0	Coastal	1	"PPL 200mg, acidified"	none	surface to 20m	0	Estuarine	0
XA_DOM_75.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	South Africa 2018/19	SAMPLE	SAMPLE	2019	-33.6363	25.7382	0	Coastal	1	"PPL 200mg, acidified"	none	surface to 20m	0	Estuarine	0
XA_DOM_76.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	South Africa 2018/19	SAMPLE	SAMPLE	2019	-33.6258	25.7313	0	Coastal	1	"PPL 200mg, acidified"	none	surface to 20m	0	Estuarine	0
XA_DOM_77.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	South Africa 2018/19	SAMPLE	SAMPLE	2019	-33.6258	25.7313	0	Coastal	1	"PPL 200mg, acidified"	none	surface to 20m	0	Estuarine	0
2019_2_06_TJ_DOM_1.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	Southern San Diego Coast 2019	SAMPLE	SAMPLE	2019	32.55242	-117.12655	0	Coastal	1	"PPL, 200mg acidified"	none	surface to 20m	0	Estuarine	0
2019_2_06_TJ_DOM_2.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	Southern San Diego Coast 2019	SAMPLE	SAMPLE	2019	32.55242	-117.12655	0	Coastal	1	"PPL, 200mg acidified"	none	surface to 20m	0	Estuarine	0
2019_2_08_TJ_DOM_1.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	Southern San Diego Coast 2019	SAMPLE	SAMPLE	2019	32.55242	-117.12655	0	Coastal	1	"PPL, 200mg acidified"	none	surface to 20m	0	Estuarine	0
2019_2_08_TJ_DOM_2.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	Southern San Diego Coast 2019	SAMPLE	SAMPLE	2019	32.55242	-117.12655	0	Coastal	1	"PPL, 200mg acidified"	none	surface to 20m	0	Estuarine	0
2019_2_06_Holl_DOM_1.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	Southern San Diego Coast 2019	SAMPLE	SAMPLE	2019	32.5545	-117.08427	0	Coastal	1	"PPL, 200mg acidified"	none	surface to 20m	0	Estuarine	0
2019_2_06_Holl_DOM_2.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	Southern San Diego Coast 2019	SAMPLE	SAMPLE	2019	32.5545	-117.08427	0	Coastal	1	"PPL, 200mg acidified"	none	surface to 20m	0	Estuarine	0
2019_2_07_Holl_DOM_1.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	Southern San Diego Coast 2019	SAMPLE	SAMPLE	2019	32.5545	-117.08427	0	Coastal	1	"PPL, 200mg acidified"	none	surface to 20m	0	Estuarine	0
2019_2_07_Holl_DOM_2.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	Southern San Diego Coast 2019	SAMPLE	SAMPLE	2019	32.5545	-117.08427	0	Coastal	1	"PPL, 200mg acidified"	none	surface to 20m	0	Estuarine	0
2019_2_08_Holl_DOM_1.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	Southern San Diego Coast 2019	SAMPLE	SAMPLE	2019	32.5545	-117.08427	0	Coastal	1	"PPL, 200mg acidified"	none	surface to 20m	0	Estuarine	0
2019_2_08_Holl_DOM_2.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	Southern San Diego Coast 2019	SAMPLE	SAMPLE	2019	32.5545	-117.08427	0	Coastal	1	"PPL, 200mg acidified"	none	surface to 20m	0	Estuarine	0
2019_2_16_Holl_DOM_1.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	Southern San Diego Coast 2019	SAMPLE	SAMPLE	2019	32.5545	-117.08427	0	Coastal	1	"PPL, 200mg acidified"	none	surface to 20m	0	Estuarine	0
2019_2_16_Holl_DOM_2.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	Southern San Diego Coast 2019	SAMPLE	SAMPLE	2019	32.5545	-117.08427	0	Coastal	1	"PPL, 200mg acidified"	none	surface to 20m	0	Estuarine	0
2019_2_17_Holl_DOM_1.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	Southern San Diego Coast 2019	SAMPLE	SAMPLE	2019	32.5545	-117.08427	0	Coastal	1	"PPL, 200mg acidified"	none	surface to 20m	0	Estuarine	0
2019_2_17_Holl_DOM_2.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	Southern San Diego Coast 2019	SAMPLE	SAMPLE	2019	32.5545	-117.08427	0	Coastal	1	"PPL, 200mg acidified"	none	surface to 20m	0	Estuarine	0
2019_2_18_Holl_DOM_1.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	Southern San Diego Coast 2019	SAMPLE	SAMPLE	2019	32.5545	-117.08427	0	Coastal	1	"PPL, 200mg acidified"	none	surface to 20m	0	Estuarine	0
2019_2_18_Holl_DOM_2.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	Southern San Diego Coast 2019	SAMPLE	SAMPLE	2019	32.5545	-117.08427	0	Coastal	1	"PPL, 200mg acidified"	none	surface to 20m	0	Estuarine	0
2019_2_19_Holl_DOM_1.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	Southern San Diego Coast 2019	SAMPLE	SAMPLE	2019	32.5545	-117.08427	0	Coastal	1	"PPL, 200mg acidified"	none	surface to 20m	0	Estuarine	0
2019_2_19_Holl_DOM_2.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	Southern San Diego Coast 2019	SAMPLE	SAMPLE	2019	32.5545	-117.08427	0	Coastal	1	"PPL, 200mg acidified"	none	surface to 20m	0	Estuarine	0
2019_2_20_Holl_DOM_1.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	Southern San Diego Coast 2019	SAMPLE	SAMPLE	2019	32.5545	-117.08427	0	Coastal	1	"PPL, 200mg acidified"	none	surface to 20m	0	Estuarine	0
2019_2_20_Holl_DOM_2.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	Southern San Diego Coast 2019	SAMPLE	SAMPLE	2019	32.5545	-117.08427	0	Coastal	1	"PPL, 200mg acidified"	none	surface to 20m	0	Estuarine	0
2019_2_21_Holl_DOM_1.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	Southern San Diego Coast 2019	SAMPLE	SAMPLE	2019	32.5545	-117.08427	0	Coastal	1	"PPL, 200mg acidified"	none	surface to 20m	0	Estuarine	0
2019_2_21_Holl_DOM_2.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	Southern San Diego Coast 2019	SAMPLE	SAMPLE	2019	32.5545	-117.08427	0	Coastal	1	"PPL, 200mg acidified"	none	surface to 20m	0	Estuarine	0
2019_2_22_Holl_DOM_1.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	Southern San Diego Coast 2019	SAMPLE	SAMPLE	2019	32.5545	-117.08427	0	Coastal	1	"PPL, 200mg acidified"	none	surface to 20m	0	Estuarine	0
2019_2_22_Holl_DOM_2.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	Southern San Diego Coast 2019	SAMPLE	SAMPLE	2019	32.5545	-117.08427	0	Coastal	1	"PPL, 200mg acidified"	none	surface to 20m	0	Estuarine	0
2019_2_23_Holl_DOM_1.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	Southern San Diego Coast 2019	SAMPLE	SAMPLE	2019	32.5545	-117.08427	0	Coastal	1	"PPL, 200mg acidified"	none	surface to 20m	0	Estuarine	0
