filename	Owner	Submitter	Sample Collector	MassIVE ID	ATTRIBUTE_batch	ATTRIBUTE_region	ATTRIBUTE_type	ATTRIBUTE_descriptor	ATTRIBUTE_dataset	ATTRIBUTE_ecosystem	ATTRIBUTE_Year	ATTRIBUTE_Latitude	ATTRIBUTE_Longitude	ATTRIBUTE_Depth	ATTRIBUTE_Volume	ATTRIBUTE_SPEcartridge	ATTRIBUTE_Filtration
XA_DOM_34.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	SAMPLE	South Africa 2018/19	South Africa 2018/19	Coastal	2019	-33.8383	25.5974	surface	1	"PPL 200mg, acidified"	none
XA_DOM_35.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	SAMPLE	South Africa 2018/19	South Africa 2018/19	Coastal	2019	-33.8383	25.5974	surface	1	"PPL 200mg, acidified"	none
XA_DOM_36.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	SAMPLE	South Africa 2018/19	South Africa 2018/19	Coastal	2019	-33.835	25.5713	surface	1	"PPL 200mg, acidified"	none
XA_DOM_37.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	SAMPLE	South Africa 2018/19	South Africa 2018/19	Coastal	2019	-33.835	25.5713	surface	1	"PPL 200mg, acidified"	none
XA_DOM_38.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	SAMPLE	South Africa 2018/19	South Africa 2018/19	Coastal	2019	-33.8205	25.5509	surface	1	"PPL 200mg, acidified"	none
XA_DOM_39.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	SAMPLE	South Africa 2018/19	South Africa 2018/19	Coastal	2019	-33.8205	25.5509	surface	1	"PPL 200mg, acidified"	none
XA_DOM_24.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	SAMPLE	South Africa 2018/19	South Africa 2018/19	Coastal	2019	-33.7921	25.4899	surface	1	"PPL 200mg, acidified"	none
XA_DOM_25.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	SAMPLE	South Africa 2018/19	South Africa 2018/19	Coastal	2019	-33.7921	25.4899	surface	1	"PPL 200mg, acidified"	none
XA_DOM_26.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	SAMPLE	South Africa 2018/19	South Africa 2018/19	Coastal	2019	-33.7719	25.3864	surface	1	"PPL 200mg, acidified"	none
XA_DOM_27.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	SAMPLE	South Africa 2018/19	South Africa 2018/19	Coastal	2019	-33.7719	25.3864	surface	1	"PPL 200mg, acidified"	none
XA_DOM_28.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	SAMPLE	South Africa 2018/19	South Africa 2018/19	Coastal	2019	-33.7519	25.343	surface	1	"PPL 200mg, acidified"	none
XA_DOM_29.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	SAMPLE	South Africa 2018/19	South Africa 2018/19	Coastal	2019	-33.7519	25.343	surface	1	"PPL 200mg, acidified"	none
XA_DOM_66.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	SAMPLE	South Africa 2018/19	South Africa 2018/19	Coastal	2019	-33.7118	25.7971	surface	1	"PPL 200mg, acidified"	none
XA_DOM_67.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	SAMPLE	South Africa 2018/19	South Africa 2018/19	Coastal	2019	-33.7118	25.7971	surface	1	"PPL 200mg, acidified"	none
XA_DOM_60.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	SAMPLE	South Africa 2018/19	South Africa 2018/19	Coastal	2019	-33.7069	25.8399	surface	1	"PPL 200mg, acidified"	none
XA_DOM_61.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	SAMPLE	South Africa 2018/19	South Africa 2018/19	Coastal	2019	-33.7069	25.8399	surface	1	"PPL 200mg, acidified"	none
XA_DOM_62.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	SAMPLE	South Africa 2018/19	South Africa 2018/19	Coastal	2019	-33.7069	25.8399	surface	1	"PPL 200mg, acidified"	none
XA_DOM_63.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	SAMPLE	South Africa 2018/19	South Africa 2018/19	Coastal	2019	-33.7069	25.8399	surface	1	"PPL 200mg, acidified"	none
XA_DOM_68.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	SAMPLE	South Africa 2018/19	South Africa 2018/19	Coastal	2019	-33.6953	25.7946	surface	1	"PPL 200mg, acidified"	none
XA_DOM_69.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	SAMPLE	South Africa 2018/19	South Africa 2018/19	Coastal	2019	-33.6953	25.7946	surface	1	"PPL 200mg, acidified"	none
XA_DOM_64.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	SAMPLE	South Africa 2018/19	South Africa 2018/19	Coastal	2019	-33.6916	25.8318	surface	1	"PPL 200mg, acidified"	none
XA_DOM_65.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	SAMPLE	South Africa 2018/19	South Africa 2018/19	Coastal	2019	-33.6916	25.8318	surface	1	"PPL 200mg, acidified"	none
XA_DOM_70.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	SAMPLE	South Africa 2018/19	South Africa 2018/19	Coastal	2019	-33.6805	25.7695	surface	1	"PPL 200mg, acidified"	none
XA_DOM_71.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	SAMPLE	South Africa 2018/19	South Africa 2018/19	Coastal	2019	-33.6805	25.7695	surface	1	"PPL 200mg, acidified"	none
XA_DOM_72.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	SAMPLE	South Africa 2018/19	South Africa 2018/19	Coastal	2019	-33.658	25.7397	surface	1	"PPL 200mg, acidified"	none
XA_DOM_73.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	SAMPLE	South Africa 2018/19	South Africa 2018/19	Coastal	2019	-33.658	25.7397	surface	1	"PPL 200mg, acidified"	none
XA_DOM_74.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	SAMPLE	South Africa 2018/19	South Africa 2018/19	Coastal	2019	-33.6363	25.7382	surface	1	"PPL 200mg, acidified"	none
XA_DOM_75.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	SAMPLE	South Africa 2018/19	South Africa 2018/19	Coastal	2019	-33.6363	25.7382	surface	1	"PPL 200mg, acidified"	none
XA_DOM_76.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	SAMPLE	South Africa 2018/19	South Africa 2018/19	Coastal	2019	-33.6258	25.7313	surface	1	"PPL 200mg, acidified"	none
XA_DOM_77.mzXML	r.dorrington@ru.ac.za	dpetras@ucr.edu	xavsiw@gmail.com	MSV000083772	Algoa	Indian Ocean	SAMPLE	South Africa 2018/19	South Africa 2018/19	Coastal	2019	-33.6258	25.7313	surface	1	"PPL 200mg, acidified"	none
2019_2_06_TJ_DOM_1.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	SAMPLE	Southern San Diego Coast 2019	Southern San Diego Coast 2019	Coastal	2019	32.55242	-117.12655	0	1	"PPL, 200mg acidified"	none
2019_2_06_TJ_DOM_2.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	SAMPLE	Southern San Diego Coast 2019	Southern San Diego Coast 2019	Coastal	2019	32.55242	-117.12655	0	1	"PPL, 200mg acidified"	none
2019_2_08_TJ_DOM_1.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	SAMPLE	Southern San Diego Coast 2019	Southern San Diego Coast 2019	Coastal	2019	32.55242	-117.12655	0	1	"PPL, 200mg acidified"	none
2019_2_08_TJ_DOM_2.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	SAMPLE	Southern San Diego Coast 2019	Southern San Diego Coast 2019	Coastal	2019	32.55242	-117.12655	0	1	"PPL, 200mg acidified"	none
2019_2_06_Holl_DOM_1.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	SAMPLE	Southern San Diego Coast 2019	Southern San Diego Coast 2019	Coastal	2019	32.5545	-117.08427	0	1	"PPL, 200mg acidified"	none
2019_2_06_Holl_DOM_2.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	SAMPLE	Southern San Diego Coast 2019	Southern San Diego Coast 2019	Coastal	2019	32.5545	-117.08427	0	1	"PPL, 200mg acidified"	none
2019_2_07_Holl_DOM_1.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	SAMPLE	Southern San Diego Coast 2019	Southern San Diego Coast 2019	Coastal	2019	32.5545	-117.08427	0	1	"PPL, 200mg acidified"	none
2019_2_07_Holl_DOM_2.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	SAMPLE	Southern San Diego Coast 2019	Southern San Diego Coast 2019	Coastal	2019	32.5545	-117.08427	0	1	"PPL, 200mg acidified"	none
2019_2_08_Holl_DOM_1.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	SAMPLE	Southern San Diego Coast 2019	Southern San Diego Coast 2019	Coastal	2019	32.5545	-117.08427	0	1	"PPL, 200mg acidified"	none
2019_2_08_Holl_DOM_2.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	SAMPLE	Southern San Diego Coast 2019	Southern San Diego Coast 2019	Coastal	2019	32.5545	-117.08427	0	1	"PPL, 200mg acidified"	none
2019_2_16_Holl_DOM_1.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	SAMPLE	Southern San Diego Coast 2019	Southern San Diego Coast 2019	Coastal	2019	32.5545	-117.08427	0	1	"PPL, 200mg acidified"	none
2019_2_16_Holl_DOM_2.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	SAMPLE	Southern San Diego Coast 2019	Southern San Diego Coast 2019	Coastal	2019	32.5545	-117.08427	0	1	"PPL, 200mg acidified"	none
2019_2_17_Holl_DOM_1.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	SAMPLE	Southern San Diego Coast 2019	Southern San Diego Coast 2019	Coastal	2019	32.5545	-117.08427	0	1	"PPL, 200mg acidified"	none
2019_2_17_Holl_DOM_2.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	SAMPLE	Southern San Diego Coast 2019	Southern San Diego Coast 2019	Coastal	2019	32.5545	-117.08427	0	1	"PPL, 200mg acidified"	none
2019_2_18_Holl_DOM_1.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	SAMPLE	Southern San Diego Coast 2019	Southern San Diego Coast 2019	Coastal	2019	32.5545	-117.08427	0	1	"PPL, 200mg acidified"	none
2019_2_18_Holl_DOM_2.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	SAMPLE	Southern San Diego Coast 2019	Southern San Diego Coast 2019	Coastal	2019	32.5545	-117.08427	0	1	"PPL, 200mg acidified"	none
2019_2_19_Holl_DOM_1.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	SAMPLE	Southern San Diego Coast 2019	Southern San Diego Coast 2019	Coastal	2019	32.5545	-117.08427	0	1	"PPL, 200mg acidified"	none
2019_2_19_Holl_DOM_2.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	SAMPLE	Southern San Diego Coast 2019	Southern San Diego Coast 2019	Coastal	2019	32.5545	-117.08427	0	1	"PPL, 200mg acidified"	none
2019_2_20_Holl_DOM_1.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	SAMPLE	Southern San Diego Coast 2019	Southern San Diego Coast 2019	Coastal	2019	32.5545	-117.08427	0	1	"PPL, 200mg acidified"	none
2019_2_20_Holl_DOM_2.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	SAMPLE	Southern San Diego Coast 2019	Southern San Diego Coast 2019	Coastal	2019	32.5545	-117.08427	0	1	"PPL, 200mg acidified"	none
2019_2_21_Holl_DOM_1.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	SAMPLE	Southern San Diego Coast 2019	Southern San Diego Coast 2019	Coastal	2019	32.5545	-117.08427	0	1	"PPL, 200mg acidified"	none
2019_2_21_Holl_DOM_2.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	SAMPLE	Southern San Diego Coast 2019	Southern San Diego Coast 2019	Coastal	2019	32.5545	-117.08427	0	1	"PPL, 200mg acidified"	none
2019_2_22_Holl_DOM_1.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	SAMPLE	Southern San Diego Coast 2019	Southern San Diego Coast 2019	Coastal	2019	32.5545	-117.08427	0	1	"PPL, 200mg acidified"	none
2019_2_22_Holl_DOM_2.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	SAMPLE	Southern San Diego Coast 2019	Southern San Diego Coast 2019	Coastal	2019	32.5545	-117.08427	0	1	"PPL, 200mg acidified"	none
2019_2_23_Holl_DOM_1.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	SAMPLE	Southern San Diego Coast 2019	Southern San Diego Coast 2019	Coastal	2019	32.5545	-117.08427	0	1	"PPL, 200mg acidified"	none
2019_2_23_Holl_DOM_2.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	SAMPLE	Southern San Diego Coast 2019	Southern San Diego Coast 2019	Coastal	2019	32.5545	-117.08427	0	1	"PPL, 200mg acidified"	none
2019_2_28_Holl_DOM_1.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	SAMPLE	Southern San Diego Coast 2019	Southern San Diego Coast 2019	Coastal	2019	32.5545	-117.08427	0	1	"PPL, 200mg acidified"	none
2019_2_28_Holl_DOM_2.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	SAMPLE	Southern San Diego Coast 2019	Southern San Diego Coast 2019	Coastal	2019	32.5545	-117.08427	0	1	"PPL, 200mg acidified"	none
2019_3_01_Holl_DOM_1.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	SAMPLE	Southern San Diego Coast 2019	Southern San Diego Coast 2019	Coastal	2019	32.5545	-117.08427	0	1	"PPL, 200mg acidified"	none
2019_3_01_Holl_DOM_2.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	SAMPLE	Southern San Diego Coast 2019	Southern San Diego Coast 2019	Coastal	2019	32.5545	-117.08427	0	1	"PPL, 200mg acidified"	none
2019_3_02_Holl_DOM_1.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	SAMPLE	Southern San Diego Coast 2019	Southern San Diego Coast 2019	Coastal	2019	32.5545	-117.08427	0	1	"PPL, 200mg acidified"	none
2019_3_02_Holl_DOM_2.mzXML	dpetras@ucr.edu	dpetras@ucr.edu	notthere	MSV000083889	IB2019	US Pacific coast	SAMPLE	Southern San Diego Coast 2019	Southern San Diego Coast 2019	Coastal	2019	32.5545	-117.08427	0	1	"PPL, 200mg acidified"	none
